Codebase,Checker,Path,Line,Message,tool
git,constParameter,reftable/record.c,245,Parameter 'src' can be declared as pointer to const,cppcheck
git,uselessAssignmentArg,builtin/difftool.c,722,Assignment of function parameter has no effect outside the function.,cppcheck
git,constParameter,builtin/rebase.c,856,Parameter 'from' can be declared as pointer to const,cppcheck
git,uselessAssignmentPtrArg,builtin/fast-import.c,2504,Assignment of function parameter has no effect outside the function. Did you forget dereferencing it?,cppcheck
git,constParameter,compat/obstack.c,315,Parameter 'obj' can be declared as pointer to const,cppcheck
git,uselessAssignmentArg,builtin/stash.c,810,Assignment of function parameter has no effect outside the function.,cppcheck
git,uselessAssignmentArg,builtin/stash.c,1739,Assignment of function parameter has no effect outside the function.,cppcheck
git,uselessAssignmentArg,builtin/sparse-checkout.c,455,Assignment of function parameter has no effect outside the function.,cppcheck
git,uselessAssignmentArg,builtin/sparse-checkout.c,863,Assignment of function parameter has no effect outside the function.,cppcheck
git,uselessAssignmentArg,builtin/sparse-checkout.c,900,Assignment of function parameter has no effect outside the function.,cppcheck
git,uselessAssignmentArg,builtin/diagnose.c,32,Assignment of function parameter has no effect outside the function.,cppcheck
git,uselessAssignmentArg,builtin/pull.c,506,Assignment of function parameter has no effect outside the function.,cppcheck
git,uselessAssignmentArg,builtin/rev-parse.c,525,Assignment of function parameter has no effect outside the function.,cppcheck
git,uselessAssignmentArg,builtin/credential-cache--daemon.c,282,Assignment of function parameter has no effect outside the function.,cppcheck
git,uselessAssignmentArg,builtin/credential-cache--daemon.c,315,Assignment of function parameter has no effect outside the function.,cppcheck
git,constParameter,builtin/pack-objects.c,91,Parameter 'delta' can be declared as pointer to const,cppcheck
git,constParameter,builtin/pack-objects.c,119,Parameter 'delta' can be declared as pointer to const,cppcheck
git,constParameter,builtin/pack-objects.c,129,Parameter 'delta' can be declared as pointer to const,cppcheck
git,constParameter,builtin/pack-objects.c,779,Parameter 'e' can be declared as pointer to const,cppcheck
git,constParameter,builtin/pack-objects.c,2422,Parameter 'e' can be declared as pointer to const,cppcheck
git,uselessAssignmentArg,builtin/mktag.c,83,Assignment of function parameter has no effect outside the function.,cppcheck
git,uselessAssignmentArg,builtin/write-tree.c,38,Assignment of function parameter has no effect outside the function.,cppcheck
git,uselessAssignmentArg,builtin/patch-id.c,234,Assignment of function parameter has no effect outside the function.,cppcheck
git,redundantInitialization,builtin/receive-pack.c,692,Redundant initialization for 'retval'. The initialized value is overwritten before it is read.,cppcheck
git,uselessAssignmentPtrArg,builtin/checkout.c,1389,Assignment of function parameter has no effect outside the function. Did you forget dereferencing it?,cppcheck
git,uselessAssignmentArg,builtin/checkout.c,1390,Assignment of function parameter has no effect outside the function.,cppcheck
git,constParameter,builtin/checkout.c,717,Parameter 'old_commit' can be declared as pointer to const,cppcheck
git,uselessAssignmentArg,builtin/reset.c,348,Assignment of function parameter has no effect outside the function.,cppcheck
git,uselessAssignmentArg,builtin/commit.c,1537,Assignment of function parameter has no effect outside the function.,cppcheck
git,constParameter,builtin/commit.c,1257,Parameter 'current_head' can be declared as pointer to const,cppcheck
git,uselessAssignmentArg,builtin/bugreport.c,121,Assignment of function parameter has no effect outside the function.,cppcheck
git,constParameter,builtin/show-branch.c,518,Parameter 'rev_mask' can be declared as pointer to const,cppcheck
git,uselessAssignmentArg,builtin/credential-cache.c,179,Assignment of function parameter has no effect outside the function.,cppcheck
git,uselessAssignmentArg,ewah/ewah_io.c,131,Assignment of function parameter has no effect outside the function.,cppcheck
git,redundantInitialization,builtin/ls-tree.c,102,Redundant initialization for 'name'. The initialized value is overwritten before it is read.,cppcheck
git,uselessAssignmentArg,builtin/add.c,321,Assignment of function parameter has no effect outside the function.,cppcheck
git,constParameter,builtin/index-pack.c,409,Parameter 'retain' can be declared as pointer to const,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_bool.hpp,32,Label 'e_init' is not used.,cppcheck
zeek,unusedLabel,auxil/broker/caf/libcaf_core/caf/detail/parser/read_bool.hpp,36,Label 'e_has_f' is not used.,cppcheck
