Checker,Path,Line,Message,tool,checker,rule
core.uninitialized.Assign,blame.c,1453,Assigned value is garbage or undefined,clang-scan-build,core.uninitialized.Assign,EXP33-C
core.uninitialized.Assign,blame.c,1469,Assigned value is garbage or undefined,clang-scan-build,core.uninitialized.Assign,EXP33-C
core.NullDereference,blame.c,2811,Access to field 'parents' results in a dereference of a null pointer (loaded from variable 'c'),clang-scan-build,core.NullDereference,EXP34-C
deadcode.DeadStores,builtin/update-index.c,1171,Value stored to 'argc' is never read,clang-scan-build,deadcode.DeadStores,MSC13-C
deadcode.DeadStores,builtin/show-index.c,26,Value stored to 'argc' is never read,clang-scan-build,deadcode.DeadStores,MSC13-C
core.NullDereference,branch.c,163,Dereference of null pointer,clang-scan-build,core.NullDereference,EXP34-C
core.NonNullParamChecker,transport.c,936,Null pointer passed to 1st parameter expecting 'nonnull',clang-scan-build,core.NonNullParamChecker,EXP34-C
core.NonNullParamChecker,transport.c,943,Null pointer passed to 1st parameter expecting 'nonnull',clang-scan-build,core.NonNullParamChecker,EXP34-C
core.NonNullParamChecker,builtin/index-pack.c,1497,Null pointer passed to 1st parameter expecting 'nonnull',clang-scan-build,core.NonNullParamChecker,EXP34-C
core.NullDereference,builtin/index-pack.c,1681,Array access (from variable 'chain_histogram') results in a null pointer dereference,clang-scan-build,core.NullDereference,EXP34-C
core.NullDereference,builtin/index-pack.c,1703,Array access (from variable 'chain_histogram') results in a null pointer dereference,clang-scan-build,core.NullDereference,EXP34-C
core.NonNullParamChecker,pack-write.c,258,Null pointer passed to 1st parameter expecting 'nonnull',clang-scan-build,core.NonNullParamChecker,EXP34-C
deadcode.DeadStores,builtin/stash.c,810,Value stored to 'argc' is never read,clang-scan-build,deadcode.DeadStores,MSC13-C
core.CallAndMessage,diffcore-pickaxe.c,168,Called function pointer is null (null dereference),clang-scan-build,core.CallAndMessage,EXP33-C
core.NullDereference,revision.c,1124,Access to field 'parents' results in a dereference of a null pointer (loaded from variable 'p'),clang-scan-build,core.NullDereference,EXP34-C
core.NullDereference,revision.c,1432,Access to field 'date' results in a dereference of a null pointer (loaded from variable 'commit'),clang-scan-build,core.NullDereference,EXP34-C
core.NullDereference,revision.c,1436,Access to field 'flags' results in a dereference of a null pointer (loaded from variable 'obj'),clang-scan-build,core.NullDereference,EXP34-C
core.NullDereference,revision.c,1871,Access to field 'type' results in a dereference of a null pointer (loaded from variable 'it'),clang-scan-build,core.NullDereference,EXP34-C
core.NullDereference,builtin/merge.c,224,Array access (from variable 'use_strategies') results in a null pointer dereference,clang-scan-build,core.NullDereference,EXP34-C
deadcode.DeadStores,builtin/merge.c,924,Value stored to 'pptr' is never read,clang-scan-build,deadcode.DeadStores,MSC13-C
deadcode.DeadStores,add-interactive.c,1165,Value stored to 'res' is never read,clang-scan-build,deadcode.DeadStores,MSC13-C
deadcode.DeadStores,add-interactive.c,1183,Value stored to 'res' is never read,clang-scan-build,deadcode.DeadStores,MSC13-C
deadcode.DeadStores,attr.c,565,"Although the value stored to 'param' is used in the enclosing expression, the value is never actually read from 'param'",clang-scan-build,deadcode.DeadStores,MSC13-C
core.NullDereference,attr.c,908,Access to field 'prev' results in a dereference of a null pointer (loaded from variable 'info'),clang-scan-build,core.NullDereference,EXP34-C
core.NullDereference,attr.c,916,Access to field 'origin' results in a dereference of a null pointer,clang-scan-build,core.NullDereference,EXP34-C
deadcode.DeadStores,add-patch.c,1653,Value stored to 'eol' during its initialization is never read,clang-scan-build,deadcode.DeadStores,MSC13-C
core.NullDereference,diffcore-break.c,291,Access to field 'broken_pair' results in a dereference of a null pointer (loaded from variable 'pp'),clang-scan-build,core.NullDereference,EXP34-C
deadcode.DeadStores,builtin/diff-tree.c,131,Value stored to 'prefix' is never read,clang-scan-build,deadcode.DeadStores,MSC13-C
deadcode.DeadStores,commit-graph.c,535,Value stored to 'valid' is never read,clang-scan-build,deadcode.DeadStores,MSC13-C
deadcode.DeadStores,commit-graph.c,847,Value stored to 'pptr' is never read,clang-scan-build,deadcode.DeadStores,MSC13-C
core.NullDereference,commit-graph.c,2057,Access to field 'odb' results in a dereference of a null pointer (loaded from variable 'g'),clang-scan-build,core.NullDereference,EXP34-C
unix.Malloc,builtin/fetch.c,495,Use of memory after it is freed,clang-scan-build,unix.Malloc,MEM31-C
