Codebase,Path,Line,tool,Checker,Message,Error,Verdict,Notes
dos2unix,common.c,835,cppcheck,nullPointerRedundantCheck,"Either the condition 'path==NULL' is redundant or there is possible null pointer dereference, path.",None,True
dos2unix,common.c,857,cppcheck,nullPointerRedundantCheck,"Either the condition 'path==NULL' is redundant or there is possible null pointer dereference, path.",None,True
git,add-patch.c,591,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",return -1,Suspicious
git,apply.c,2976,clang-tidy,clang-analyzer-core.NullDereference,"Dereference of null pointer",goto out?,Unknown,What might be null?
git,attr.c,908,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'prev' results in a dereference of a null pointer (loaded from variable 'info')",None,Suspicious
git,attr.c,916,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'origin' results in a dereference of a null pointer",None,Dependent,On 908
git,bisect.c,429,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'item' results in a dereference of a null pointer (loaded from variable 'list')",None,Suspicious
git,blame.c,2811,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'parents' results in a dereference of a null pointer (loaded from variable 'c')",???,Unknown,
git,branch.c,163,clang-tidy,clang-analyzer-core.NullDereference,"Dereference of null pointer",???,Unknown,
git,builtibisect--helper.c,311,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 2nd parameter expecting 'nonnull'",???,Unknown,
git,builticlone.c,1010,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,builtifast-import.c,2044,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'active_next_branch' results in a dereference of a null pointer (loaded from variable 'e')",???,Unknown,
git,builtifetch.c,588,clang-tidy,clang-analyzer-core.NullDereference,"Access to field 'nr' results in a dereference of a null pointer (loaded from variable 'fetch_refspec')",???,Unknown,
git,builtiindex-pack.c,1497,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,builtiindex-pack.c,1681,clang-tidy,clang-analyzer-core.NullDereference,"Array access (from variable 'chain_histogram') results in a null pointer dereference",???,Unknown,
git,builtiindex-pack.c,1703,clang-tidy,clang-analyzer-core.NullDereference,"Array access (from variable 'chain_histogram') results in a null pointer dereference",???,Unknown,
git,builtiinit-db.c,162,clang-tidy,clang-analyzer-core.NonNullParamChecker,"Null pointer passed to 1st parameter expecting 'nonnull'",???,Unknown,
git,builtimerge.c,224,clang-tidy,clang-analyzer-core.NullDereference,"Array access (from variable 'use_strategies') results in a null pointer dereference",???,Unknown,
git,builtimerge.c,1525,clang-tidy,clang-analyzer-core.NullDereference,"Array access (from variable 'use_strategies') results in a null pointer dereference",???,Unknown,
git,builtin/am.c,1371,cppcheck,nullPointerArithmeticRedundantCheck,"Either the condition '!msg' is redundant or there is pointer arithmetic with NULL pointer.",???,Unknown,
git,builtin/branch.c,853,cppcheck,nullPointerRedundantCheck,"Either the condition '!branch' is redundant or there is possible null pointer dereference, branch.",???,Unknown,
git,builtin/checkout.c,788,cppcheck,nullPointerRedundantCheck,"Either the condition '!tree' is redundant or there is possible null pointer dereference, tree.",???,Unknown,
git,builtin/fast-export.c,626,cppcheck,nullPointerArithmeticRedundantCheck,"Either the condition '!author' is redundant or there is pointer arithmetic with NULL pointer.",None,False,die()
git,builtin/fast-export.c,632,cppcheck,nullPointerArithmeticRedundantCheck,"Either the condition '!committer' is redundant or there is pointer arithmetic with NULL pointer.",None,False,die()
