Checker	Path	Line	Column	Message	Tool	End_Line	End_Column
bugprone-reserved-identifier	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	28	9	declaration uses identifier '__D2U_COMMON_H', which is a reserved identifier	clang_tidy	28	9
cert-dcl37-c	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	28	9	declaration uses identifier '__D2U_COMMON_H', which is a reserved identifier	clang_tidy	28	9
cert-dcl51-cpp	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	28	9	declaration uses identifier '__D2U_COMMON_H', which is a reserved identifier	clang_tidy	28	9
clang-diagnostic-reserved-macro-identifier	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	28	9	macro name is a reserved identifier	clang_tidy	28	9
bugprone-reserved-identifier	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	41	9	declaration uses identifier '_GNU_SOURCE', which is a reserved identifier	clang_tidy	41	9
cert-dcl37-c	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	41	9	declaration uses identifier '_GNU_SOURCE', which is a reserved identifier	clang_tidy	41	9
cert-dcl51-cpp	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	41	9	declaration uses identifier '_GNU_SOURCE', which is a reserved identifier	clang_tidy	41	9
bugprone-reserved-identifier	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	46	9	declaration uses identifier '_', which is reserved in the global namespace; cannot be fixed automatically	clang_tidy	46	9
cert-dcl37-c	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	46	9	declaration uses identifier '_', which is reserved in the global namespace; cannot be fixed automatically	clang_tidy	46	9
cert-dcl51-cpp	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	46	9	declaration uses identifier '_', which is reserved in the global namespace; cannot be fixed automatically	clang_tidy	46	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	170	1	replace macro with enum	clang_tidy	170	21
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	170	9	macro 'BINARY_FILE' defines an integral constant; prefer an enum instead	clang_tidy	170	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	171	9	macro 'NO_REGFILE' defines an integral constant; prefer an enum instead	clang_tidy	171	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	172	9	macro 'WRONG_CODEPAGE' defines an integral constant; prefer an enum instead	clang_tidy	172	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	173	9	macro 'OUTPUTFILE_SYMLINK' defines an integral constant; prefer an enum instead	clang_tidy	173	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	174	9	macro 'INPUT_TARGET_NO_REGFILE' defines an integral constant; prefer an enum instead	clang_tidy	174	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	175	9	macro 'OUTPUT_TARGET_NO_REGFILE' defines an integral constant; prefer an enum instead	clang_tidy	175	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	176	9	macro 'LOCALE_NOT_UTF' defines an integral constant; prefer an enum instead	clang_tidy	176	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	177	9	macro 'WCHAR_T_TOO_SMALL' defines an integral constant; prefer an enum instead	clang_tidy	177	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	178	9	macro 'UNICODE_CONVERSION_ERROR' defines an integral constant; prefer an enum instead	clang_tidy	178	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	179	9	macro 'UNICODE_NOT_SUPPORTED' defines an integral constant; prefer an enum instead	clang_tidy	179	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	181	1	replace macro with enum	clang_tidy	181	24
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	181	9	macro 'CONVMODE_ASCII' defines an integral constant; prefer an enum instead	clang_tidy	181	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	182	9	macro 'CONVMODE_UTF16LE' defines an integral constant; prefer an enum instead	clang_tidy	182	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	183	9	macro 'CONVMODE_UTF16BE' defines an integral constant; prefer an enum instead	clang_tidy	183	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	184	9	macro 'CONVMODE_7BIT' defines an integral constant; prefer an enum instead	clang_tidy	184	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	185	9	macro 'CONVMODE_437' defines an integral constant; prefer an enum instead	clang_tidy	185	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	186	9	macro 'CONVMODE_850' defines an integral constant; prefer an enum instead	clang_tidy	186	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	187	9	macro 'CONVMODE_860' defines an integral constant; prefer an enum instead	clang_tidy	187	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	188	9	macro 'CONVMODE_863' defines an integral constant; prefer an enum instead	clang_tidy	188	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	189	9	macro 'CONVMODE_865' defines an integral constant; prefer an enum instead	clang_tidy	189	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	190	9	macro 'CONVMODE_1252' defines an integral constant; prefer an enum instead	clang_tidy	190	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	192	1	replace macro with enum	clang_tidy	192	25
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	192	9	macro 'FROMTO_DOS2UNIX' defines an integral constant; prefer an enum instead	clang_tidy	192	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	193	9	macro 'FROMTO_MAC2UNIX' defines an integral constant; prefer an enum instead	clang_tidy	193	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	194	9	macro 'FROMTO_UNIX2DOS' defines an integral constant; prefer an enum instead	clang_tidy	194	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	195	9	macro 'FROMTO_UNIX2MAC' defines an integral constant; prefer an enum instead	clang_tidy	195	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	197	1	replace macro with enum	clang_tidy	197	18
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	197	9	macro 'INFO_DOS' defines an integral constant; prefer an enum instead	clang_tidy	197	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	198	9	macro 'INFO_UNIX' defines an integral constant; prefer an enum instead	clang_tidy	198	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	199	9	macro 'INFO_MAC' defines an integral constant; prefer an enum instead	clang_tidy	199	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	200	9	macro 'INFO_BOM' defines an integral constant; prefer an enum instead	clang_tidy	200	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	201	9	macro 'INFO_TEXT' defines an integral constant; prefer an enum instead	clang_tidy	201	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	202	9	macro 'INFO_DEFAULT' defines an integral constant; prefer an enum instead	clang_tidy	202	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	203	9	macro 'INFO_CONVERT' defines an integral constant; prefer an enum instead	clang_tidy	203	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	204	9	macro 'INFO_HEADER' defines an integral constant; prefer an enum instead	clang_tidy	204	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	205	9	macro 'INFO_NOPATH' defines an integral constant; prefer an enum instead	clang_tidy	205	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	206	9	macro 'INFO_PRINT0' defines an integral constant; prefer an enum instead	clang_tidy	206	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	207	9	macro 'INFO_EOL' defines an integral constant; prefer an enum instead	clang_tidy	207	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	209	1	replace macro with enum	clang_tidy	209	22
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	209	9	macro 'SYMLINK_SKIP' defines an integral constant; prefer an enum instead	clang_tidy	209	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	210	9	macro 'SYMLINK_FOLLOW' defines an integral constant; prefer an enum instead	clang_tidy	210	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	211	9	macro 'SYMLINK_REPLACE' defines an integral constant; prefer an enum instead	clang_tidy	211	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	213	1	replace macro with enum	clang_tidy	213	18
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	213	9	macro 'FILE_MBS' defines an integral constant; prefer an enum instead	clang_tidy	213	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	214	9	macro 'FILE_UTF16LE' defines an integral constant; prefer an enum instead	clang_tidy	214	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	215	9	macro 'FILE_UTF16BE' defines an integral constant; prefer an enum instead	clang_tidy	215	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	216	9	macro 'FILE_UTF8' defines an integral constant; prefer an enum instead	clang_tidy	216	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	217	9	macro 'FILE_GB18030' defines an integral constant; prefer an enum instead	clang_tidy	217	9
modernize-macro-to-enum	/host/doc/examples/codebase/dos2unix-7.5.2/common.h	219	1	replace macro with enum	clang_tidy	219	26
