Rule,Repairable,cppcheck git,rank,clang-tidy git,rank,rosecheckers git,rank,scan-build git,cppcheck zeek5,rank,rosecheckers zeek5,rank,clang-tidy zeek5,rank,cppcheck dos2unix,rosecheckers dos2unix,clang-tidy dos2unix,Title,Severity,Liklihood,Remediation,Priority,Level
INT31-C,yes,,,1689,6,,,,3,,,,565,6,,,,Ensure that integer conversions do not result in lost or misinterpreted data,High,Probable,High,6,2
INT32-C,yes,,,,,63,,,1,,16,,,,,,,Ensure that operations on signed integers do not result in overflow,High,Likely,High,9,2
INT33-C,yes,,,,,61,,,,,12,,,,,,,Ensure that division and remainder operations do not result in divide-by-zero errors,Low,Likely,Medium,6,2
INT34-C,yes,,,,,56,,,3,,8,,,,,,,Do not shift an expression by a negative number of bits or by greater than or equal to the number of bits that exist in the operand,Low,Unlikely,Medium,2,3
INT36-C,no,,,54,,32,,,5,,39,,62,,,,,Converting a pointer to integer or integer to pointer,Low,Probable,High,2,3
MEM01-C,yes,,,,,564,,,,,34,,,,,1,,Store a new value in pointers immediately after free(),High,Unlikely,Low,9,2
MEM04-C,,,,,,2,,,,,7,,,,,,,Beware of zero-length allocations,Low,Likely,Medium,6,2
MEM07-C,,,,,,1,,,,,,,,,,,,"Ensure that the arguments to calloc(), when multiplied, do not wrap",High,Unlikely,Medium,6,2
MEM30-C,no,1,,,,54,,,,,,,,,,,,Do not access freed memory,High,Likely,Medium,18,1
MEM31-C,no,,,4,,13,,4,29,10,,,11,,,,,Free dynamically allocated memory when no longer needed,Medium,Probable,Medium,8,2
MEM34-C,no,,,,,1137,9,,,,23,,,,,3,,Only free memory allocated dynamically,High,Likely,Medium,18,1
MEM35-C,,,,,,,,,2,,,,3,,,,,Allocate sufficient memory for an object,High,Probable,High,6,2
MEM50-CPP,,,,,,,,,1,,,,,,,,,Do not access freed memory,High,Likely,Medium,18,1
MSC01-C,no,,,66,,160,,,8,,42,,20,,,,,Strive for logical completeness,Medium,Probable,Medium,8,2
MSC05-C,,,,,,28,,,,,3,,,,,,,Do not manipulate time_t typed values directly,Low,Unlikely,Medium,2,3
MSC07-C,yes,11,7,,,,,,85,5,,,,,1,,,Detect and remove dead code,Low,Unlikely,Medium,2,3
MSC12-C,yes,37,4,,,721,10,,232,3,480,8,,,,,,Detect and remove code that has no effect,Low,Unlikely,Medium,2,3
MSC13-C,yes,228,1,458,9,,,69,1179,1,,,16,,5,,3,Detect and remove unused values,Low,Unlikely,Medium,2,3
MSC15-C,no,13,6,,,,,,,,,,,,,,,Do not depend on undefined behavior,High,Likely,Medium,18,1
MSC24-C,no,,,734,8,,,,,,,,631,5,,,2,Do not use deprecated or obsolescent functions,High,Probable,Medium,12,1
MSC30-C,,,,3,,3,,,,,1,,1,,,,,Do not use the rand() function for generating pseudorandom numbers,Medium,Unlikely,Low,6,2
OOP50-CPP,no,,,,,,,,5,,,,16,,,,,Do not invoke virtual functions from constructors or destructors,Low,Unlikely,Medium,2,3
OOP52-CPP,,,,,,,,,,,,,12,,,,,Do not delete a polymorphic object without a virtual destructor,Low,Likely,Low,9,2
OOP53-CPP,yes,,,,,,,,20,,,,67,,,,,Write constructor member initializers in the canonical order,Medium,Unlikely,Medium,4,3
OOP54-CPP,no,,,,,,,,31,9,2230,2,7,,,,,Gracefully handle self-copy assignment,Low,Probable,High,2,3
POS30-C,,,,,,3,,,,,,,,,,,,Use the readlink() function properly,High,Probable,Medium,12,1
POS35-C,,,,,,4,,,,,,,,,,,,Avoid race conditions while checking for the existence of a symbolic link,High,Likely,Medium,18,1
PRE01-C,yes,,,276,,,,,,,,,175,,,,,Use parentheses within macros around parameter names,Medium,Probable,Low,12,1
PRE31-C,no,,,,,,,,17,,,,,,,,,Avoid side effects in arguments to unsafe macros,Low,Unlikely,Low,3,3
SIG30-C,,,,,,,,,,,7,,,,,,,Call only asynchronous-safe functions within signal handlers,High,Likely,Medium,18,1
STR05-C,,,,,,12,,,,,7,,,,,,,Use pointers to const when referring to string literals,Low,Unlikely,Low,3,3
STR07-C,,,,,,,,,,,,,11,,,,,Use the bounds-checking interfaces for remediation of existing string manipulation code,High,Probable,Medium,12,1
STR11-C,yes,,,,,136,,,,,19,,,,,,,Do not specify the bound of a character array initialized with a string literal,Low,Probable,Low,6,2
STR31-C,no,,,,,,,,,,,,,,,2,,Guarantee that storage for strings has sufficient space for character data and the null terminator,High,Likely,Medium,18,1
STR32-C,,,,52,,,,,,,,,59,,,,,Do not pass a non-null-terminated character sequence to a library function that expects a string,High,Probable,Medium,12,1
STR37-C,,,,,,,,,,,6,,,,,,,Arguments to character-handling functions must be representable as an unsigned char,Low,Unlikely,Low,3,3
ARR01-C,yes,,,202,,,,,,,,,9,,,,,Do not apply the sizeof operator to a pointer when taking the size of an array,High,Probable,Low,18,1
ARR30-C,no,1,9,,,92,,,47,7,25,,457,7,,2,,Do not form or use out-of-bounds pointers or array subscripts,High,Likely,High,9,2
ARR37-C,,,,,,,,,,,9,,,,,,,Do not add or subtract an integer to a pointer to a non-array object,Medium,Probable,Medium,8,2
CON33-C,no,,,441,10,,,,,,,,41,,,,29,Avoid race conditions when using library functions,Medium,Probable,High,4,3
DCL00-C,yes,,,21,,1801,6,,,,576,6,316,9,,,,Const-qualify immutable objects,Low,Unlikely,High,1,3
DCL01-C,yes,42,3,,,2465,4,,89,4,2553,1,,,,,,Do not reuse variable names in subscopes,Low,Unlikely,Medium,2,3
DCL02-C,yes,,,,,1500,7,,,,476,9,1,,,,,Use visually distinct identifiers,Low,Unlikely,Medium,2,3
DCL03-C,,,,1,,,,,,,,,,,,,,Use a static assertion to test the value of a constant expression,Low,Unlikely,High,1,3
DCL04-C,yes,,,1827,5,,,,,,,,367,8,,,3,Do not declare more than one variable per declaration,Low,Unlikely,Low,3,3
DCL05-C,no,,,,,133,,,,,1193,3,,,,3,,Use typedefs of non-pointer types only,Low,Unlikely,Medium,2,3
DCL06-C,no,,,5220,4,,,,,,,,2839,4,,,85,Use meaningful symbolic constants to represent literal values,Low,Unlikely,Medium,2,3
DCL11-C,,1,,,,,,,,,,,,,,,,Understand the type issues associated with variadic functions,High,Probable,High,6,2
DCL13-C,yes,,,,,324,,,,,62,,,,,,,Declare function parameters that are pointers to values not changed by the function as const,Low,Unlikely,Low,3,3
DCL16-C,,,,29,,,,,,,,,8,,,,,"Use &quot;L,&quot; not &quot;l,&quot; to indicate a long value",Low,Unlikely,Low,3,3
DCL19-C,no,63,2,,,,,,434,2,,,,,1,,,Minimize the scope of variables and functions,Low,Unlikely,Medium,2,3
DCL30-C,no,,,,,,,,7,,,,,,,,,Declare objects with appropriate storage durations,High,Probable,High,6,2
DCL37-C,yes,,,,,,,,,,,,65,,,,1,Do not declare or define a reserved identifier,Low,Unlikely,Low,3,3
DCL38-C,,,,,,8,,,,,,,,,,,,Use the correct syntax when declaring a flexible array member,Low,Unlikely,Low,3,3
DCL50-CPP,,,,,,,,,,,,,36,,,,,Do not define a C-style variadic function,High,Probable,Medium,12,1
DCL56-CPP,,,,46,,,,,,,,,,,,,,Avoid cycles during initialization of static objects,Low,Unlikely,Medium,2,3
DCL57-CPP,,,,,,,,,,,,,3,,,,,Do not let exceptions escape from destructors or deallocation functions,Low,Likely,Medium,6,2
DCL58-CPP,,,,,,,,,,,,,3,,,,,Do not modify the standard namespaces,High,Unlikely,Medium,6,2
ENV30-C,no,,,,,24,,,,,,,,,,1,,Do not modify the object referenced by the return value of certain functions,Low,Probable,Medium,4,3
ERR07-C,,,,,,2,,,,,,,,,,,,Prefer functions that support error checking over equivalent functions that don&#39;t,Medium,Probable,Medium,8,2
